,abstract,headline,pub_date
165,the magazine’s ethicist columnist on balancing safety and medical-privacy concerns in the workplace — and how best to persuade a friend to get vaccinated.,a colleague had covid. should our supervisor have told us?,2021-11-16 10:00:05+00:00
166,"with fewer covid protocols at many resorts, guests can expect shorter lift lines and less outdoor masking. but policies differ, depending on the area, so know before you go.",what to expect as ski areas head into another pandemic season,2021-11-16 10:00:25+00:00
167,"the company announced a deal that could help significantly expand access to the covid-19 treatment, but the agreement excludes a number of countries hit hard by the pandemic.",pfizer will allow its covid pill to be made and sold cheaply in poor countries,2021-11-16 11:45:06+00:00
168,"the judgment, which is subject to court approval, is in line with a “right to know” law that was designed to keep workers safe in the pandemic.","amazon agrees to pay $500,000 in california over claims that it hid covid-19 cases from workers.",2021-11-16 11:55:17+00:00
169,it’s not just people who get covid.,which of the following animals appear to be least susceptible to covid-19?,2021-11-16 12:10:38+00:00
170,have you been paying attention to the news recently? see how many of these 10 questions you can get right.,"weekly news quiz for students: europe border crisis, vaccine dispute, rittenhouse trial",2021-11-16 13:04:21+00:00
171,vaccine booster shots are now widely available in the city. here's how to get one.,what to know about covid boosters in n.y.c.,2021-11-16 16:26:32+00:00
172,"the treatment, paxlovid, is the second antiviral pill to show effectiveness in treating covid.",pfizer asks the f.d.a. to authorize its covid antiviral pill.,2021-11-16 19:16:27+00:00
173,the consolidation removes the case from a fifth circuit panel that had blocked the biden administration from moving forward with it.,challenges to workplace vaccine mandate moved to appeals court in cincinnati,2021-11-16 22:07:17+00:00
174,"a new york state ethics panel revoked its approval that allowed andrew cuomo to write his book, contending that he broke his promise not to use state resources.",cuomo may have to forfeit millions earned from pandemic memoir,2021-11-16 22:07:54+00:00
175,states jump ahead on boosters,coronavirus briefing: what happened today,2021-11-16 22:42:58+00:00
176,"this pandemic winter won’t be like the last one — but it won’t be “normal,” either.",when can the u.s. declare victory over covid?,2021-11-16 23:00:06+00:00
177,the deal tones down a diplomatic confrontation that led beijing to expel some american reporters during the last year of the trump administration.,u.s. and china agree to ease restrictions on journalists,2021-11-16 23:44:47+00:00
178,the antiviral drugs have helped inspire hope among senior administration officials that the united states will be able to curb the devastating toll from the delta variant.,u.s. to buy enough of pfizer’s covid antiviral pills for 10 million people,2021-11-17 00:22:45+00:00
179,"the multibillion-dollar plan is intended to address immediate needs both overseas and domestically, and to improve preparations for future pandemics.",the u.s. aims to lift covid vaccine manufacturing to create a billion doses a year.,2021-11-17 09:58:09+00:00
180,especially for women of color.,what we see in the shameful trends on u.s. maternal health,2021-11-17 10:00:02+00:00
181,here’s what people ages 15 to 24 from 21 countries said in a new survey.,what young people say about mental health,2021-11-17 10:00:02+00:00
182,"each week, we spotlight five student activities created for a broad range of learners based on reporting in the new york times.","weekly accessible learning activities: manatees, covid dreams and pinball",2021-11-17 10:30:03+00:00
183,"shares of companies like peloton, the home fitness equipment maker, and zoom video, the online conference software that replaced face-to-face communications for countless schools and businesses, were darlings of the stock market for the better part of last year.",peloton and zoom were two of the hot stocks of the pandemic. now what?,2021-11-17 10:59:04+00:00
184,"a polish luger, mateusz sochowicz, was told that coronavirus restrictions prevented him from boarding a commercial flight for another two weeks.",an injured olympic athlete was flown home on a cargo plane because of covid rules in beijing.,2021-11-17 12:19:40+00:00
185,"peloton, zoom and others make way for the shares of “reopening” companies.",pandemic stocks have become passé,2021-11-17 12:45:21+00:00
186,soaring demand and a shortage of workers have made appointments almost impossible to find.,the netherlands is maxing out its coronavirus testing capacity.,2021-11-17 12:53:11+00:00
187,a federal judicial panel has assigned the appeals court in cincinnati to handle at least 34 lawsuits filed around the united states that challenge the biden administration’s attempt to mandate that large employers require their workers to get vaccinated against the coronavirus or submit to weekly testing.,challenges to a u.s. workplace vaccine mandate are moved to a cincinnati appeals court.,2021-11-17 14:11:56+00:00
188,"more than 100,000 americans died from drug overdoses in the yearlong period ending in april, government researchers said.",overdose deaths reached record high as the pandemic spread,2021-11-17 15:02:01+00:00
189,the latest news and data from the team tracking the coronavirus.,u.s. covid cases are increasing again,2021-11-17 15:21:04+00:00
190,"the figure marks the first time the number of overdose deaths in the u.s. has exceeded 100,000 a year, more than the toll of car accidents and guns combined.","as the pandemic spread, americans died of drug overdoses in record numbers.",2021-11-17 15:52:19+00:00
191,"in pockets of europe, vaccine resistance has become the long tail of the populist nationalist movements that shook up european politics for a decade.",vaccinated vs. unvaccinated: europe’s covid culture war,2021-11-17 17:48:32+00:00
192,the state says its national guard members do not need to be vaccinated. pentagon officials say a failure to follow “valid medical readiness requirements” could “jeopardize” the status of troops.,standoff over vaccines between oklahoma governor and pentagon intensifies,2021-11-17 18:03:29+00:00
193,"richard ayvazyan and his wife, marietta terabelian, cut their monitoring bracelets and fled in august, the agency said. on monday, they were sentenced in absentia.","a couple convicted of stealing covid funds is on the run, the f.b.i. says.",2021-11-17 19:43:18+00:00
194,three experts respond to questions from readers about how to navigate another covid winter.,can covid winter be merry and bright? we asked the experts.,2021-11-17 20:00:08+00:00
195,workers who retired because of covid-19 are being enticed to return.,the pandemic prompted people to retire early. will they return to work?,2021-11-17 20:53:18+00:00
196,"after n.f.l. cases more than doubled, the league strengthened its covid-19 protocols and recommended teams help set up testing for families of players and team staff ahead of the holiday.",n.f.l. requires masks and increases coronavirus testing for thanksgiving,2021-11-17 21:27:33+00:00
197,germany’s anti-vaccine strongholds,coronavirus briefing: what happened today,2021-11-17 22:23:11+00:00
198,here’s what you need to know at the end of the day.,"vaccines, malcolm x, adele: your wednesday evening briefing",2021-11-17 22:46:40+00:00
199,"the biden administration will spend billions of dollars on a new plan to combat the pandemic, investing in antiviral pills, rapid tests and manufacturing.",white house plans major expansion of covid vaccine production,2021-11-18 00:26:27+00:00
200,"florida lawmakers, at the request of gov. ron desantis, passed new laws sharply curtailing mask and vaccine mandates. fringe anti-vaccination views met with little pushback.","as g.o.p. fights mask and vaccine mandates, florida takes the lead",2021-11-18 01:40:44+00:00
201,test your knowledge of this week’s health news.,"weekly health quiz: 'dogsomnia,' fruit stickers and exercise to prevent cancer",2021-11-18 10:00:04+00:00
202,the root causes of rising costs for things like housing and health care are mostly regulatory. we need a strategy to address that. ,want more affordable housing and health care? here’s a fix.,2021-11-18 10:00:18+00:00
203,"some testers gently swab the front of your nostril and send you on your way. others dig deep, bringing the pain. what’s the gold standard?",must this swab go that far up your nose to test for covid?,2021-11-18 10:00:23+00:00
204,we’re looking at the ways biden’s social policy bill will change health care.,health care renovation,2021-11-18 11:17:27+00:00
205,leaders in the czech republic said on thursday that further covid restrictions would be introduced as the country experiences some of its highest caseloads since the pandemic began.,the czech republic prepares for new restrictions as cases soar.,2021-11-18 11:43:23+00:00
206,"the measures include a rule that only those who are vaccinated, have recovered from an infection or test negative can ride public transit or attend work in person.",germany moves to impose new pandemic regulations amid record case numbers.,2021-11-18 12:16:17+00:00
207,the annual boxing day cricket test match in melbourne will also be allowed to take place before a full-capacity crowd.,"with restrictions easing, the australian open can play before a full house.",2021-11-18 13:02:38+00:00
208,"the state, along with neighboring upper austria, will apply the restrictions to everyone regardless of inoculation status. the moves come in the wake of national rules affecting unvaccinated people.",salzburg is poised to impose a general lockdown as covid spreads in austria.,2021-11-18 14:06:06+00:00
209,"teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","what students are saying about hometown pride, pandemic dreams and a mysterious photo",2021-11-18 17:28:53+00:00
210,"a new review of early covid-19 cases in the journal science will revive, though certainly not settle, the debate over how the pandemic began.","first known covid case was vendor at wuhan market, scientist says",2021-11-18 19:00:11+00:00
211,well readers share advice on how to get away from it all.,mental health days are important. here’s how to make yours worthwhile.,2021-11-18 19:30:21+00:00
212,we need to learn the right lessons from our missteps.,"after a pandemic failure, the u.s. needs a new public spirit",2021-11-18 20:00:12+00:00
213,"germany restricts access to public transportation, austria will impose full lockdowns in two states, and the netherlands recently restored mask mandates in some public indoor places.","greece, like some other e.u. nations facing case surges, adds restrictions for the unvaccinated.",2021-11-18 21:34:11+00:00
214,the search for “patient zero”,coronavirus briefing: what happened today,2021-11-18 22:08:13+00:00
215,"remaining unvaccinated could cost soldiers promotions, bonuses or even their jobs.",the u.s. army secretary to national guard members who resist the vaccines: prepare for discipline.,2021-11-18 22:57:45+00:00
216,"the move, announced on friday, is an attempt by the country’s newish prime minister to revive an economy battered by covid restrictions and a supply chain crunch.",japan approves a $490 billion economic stimulus package as the pandemic’s effects linger.,2021-11-19 11:33:02+00:00
217,the remarks came in response to a reporter’s question as neighboring austria prepares to lock down and cases continue to reach record levels.,"‘nothing should be ruled out,’ germany’s health minister says of a possible nationwide lockdown.",2021-11-19 12:25:09+00:00
218,"if the c.d.c. agrees, adults who received a second shot of the pfizer or moderna vaccine at least six months ago could be eligible by this weekend.",f.d.a. authorizes coronavirus booster shots for all adults,2021-11-19 13:31:35+00:00
219,the move adds more than 2.8 million young people to those eligible for a shot.,canada approves the pfizer vaccine for children ages 5 to 11.,2021-11-19 16:20:49+00:00
220,the extraordinary step shows that governments desperate to safeguard public health and economic recoveries are increasingly willing to push for once unthinkable measures.,"austria announces covid vaccine mandate, crossing a threshold for europe",2021-11-19 16:35:30+00:00
221,"vice president kamala harris became the first woman to assume acting presidential duties, while president biden underwent a colonoscopy.",biden declared ‘healthy’ and ‘vigorous’ after his first presidential physical,2021-11-19 17:06:46+00:00
222,officials also removed a test requirement for eligible travelers re-entering canada within 72 hours.,canada expands its list of vaccines accepted for travel.,2021-11-19 20:58:03+00:00
223,"as infections rise, americans over 18 will be permitted to get extra doses. but it’s not clear boosters really are needed by so many people, or that the shots will turn back the pandemic.",c.d.c. endorses covid vaccine booster shots for all adults,2021-11-19 21:32:56+00:00
224,tips for a successful thanksgiving.,coronavirus briefing: what happened today,2021-11-19 23:02:09+00:00
225,demonstrators gathered in cities around the country to protest vaccine mandates and other rules.,thousands rally against coronavirus restrictions in australia.,2021-11-20 09:54:25+00:00
226,"new yorkers can get coronavirus vaccine booster shots at a number of places, including pop-up vans, churches, local pharmacies and community health clinics.",how to get a coronavirus booster shot in new york city,2021-11-20 10:00:07+00:00
227,"although the end of mask mandates is in sight, restrictions should remain in place through the holidays, experts say.",when can the covid masks finally come off?,2021-11-20 10:00:15+00:00
228,the southeast asian city state is recovering from a recent surge of hospitalizations. an official said its reopening would proceed in a “step-by-step manner.”,singapore will begin easing its covid restrictions next week.,2021-11-20 10:38:28+00:00
229,a skimpy turnout for a rally in rome and the outright failure of one in milan underscored italians’ overall acceptance of the country’s green pass.,protests against italy’s health pass fizzle.,2021-11-20 16:07:04+00:00
230,"much of south sudan is under water from flooding induced by climate change and deforestation. crops and livestock are lost, hunger and malaria are spreading. with so many worries, coronavirus vaccines are a tough sell.",covid vaccine gets muted welcome in land awash in bigger problems,2021-11-20 16:54:18+00:00
231,"thousands in vienna over the weekend demonstrated against the measures, which include a nationwide lockdown.",austrians protest lockdown and vaccine mandate,2021-11-20 17:23:56+00:00
232,"the police fired warning shots and used water cannons against hundreds of demonstrators who set fires on the streets of rotterdam, the netherlands, in protest of the country’s partial lockdown and its plans to introduce a law allowing businesses to exclude unvaccinated people.",rioters clash with the police in the netherlands over covid measures,2021-11-20 18:41:58+00:00
233,"the protests were largely peaceful, but as dusk fell over the austrian capital, skirmishes broke out between officers and groups of demonstrators.",thousands in austria protest virus lockdown and vaccine mandate,2021-11-20 19:57:19+00:00
234,"as families across the united states prepare to gather for thanksgiving, some for the first time since 2019, there are only a few clouds on the horizon. ",just a few storms cloud the u.s. travel forecast for a second pandemic thanksgiving.,2021-11-20 21:39:53+00:00
235,"all adults living in new york city are officially eligible to receive coronavirus booster shots, following decisions made friday by federal regulators to expand eligibility for the shots across the country beyond those who have underlying conditions, live or work in high-risk settings or are over 65.",how to get a coronavirus booster shot in new york city.,2021-11-20 22:23:39+00:00
236,"the company’s theme park in florida, walt disney world, could have been facing fines after the state legislature made vaccine requirements illegal.",disney pauses its worker vaccine mandate after florida’s ban.,2021-11-21 01:17:04+00:00
237,"quotation of the day for sunday, november 21, 2021.",quotation of the day: vaccine’s arrival in south sudan is cold comfort,2021-11-21 03:27:49+00:00
238,"josée forest-niesing, a canadian senator from ontario, died shortly after she went home from a hospital where she had been treated for covid-19, canadian officials said saturday. she was 56.",a canadian senator has died after being hospitalized for covid.,2021-11-21 03:37:30+00:00
239,here’s what you need to know about the week’s top stories.,"gas prices, covid, thanksgiving recipes: your weekend briefing",2021-11-21 09:05:51+00:00
240,"all around the world, the pandemic provoked strange nocturnal visions. can they help shed light on the question of why we dream at all?",the sunday read: ‘did covid change how we dream?’,2021-11-21 11:00:04+00:00
241,protesters in barcelona are pushing back against foreign investment firms that have bought up thousands of homes over the past decade and are forcing out residents who can’t pay the rent.,"as pandemic evictions rise, spaniards declare ‘war’ on wall street landlords",2021-11-21 15:30:35+00:00
242,staffing shortages and pandemic fatigue add to complications.,covid-19 surge strains michigan’s hospitals.,2021-11-21 15:48:56+00:00
243,"as a new wave of covid infections spreads over europe, resistance to public health measures is growing, and not just in austria.","angry and divided, austrians argue over a lockdown and vaccine mandates",2021-11-21 22:16:41+00:00
244,mass tragedies sometimes have unexpected consequences.,could covid lead to progress?,2021-11-22 10:00:09+00:00
245,the agency has created an ambitious $200 million center to predict future outbreaks — but diseases are a lot harder to model than storms.,inside the c.d.c.’s pandemic ‘weather service’,2021-11-22 10:00:13+00:00
246,"the move, which will begin dec. 21, is part of an effort to push more people to get inoculated and curb the spread of the virus.",kenya will impose widespread restrictions on the unvaccinated starting next month.,2021-11-22 12:45:28+00:00
247,a strong fourth covid wave has led to a renewed run on vaccines.,"as germans seek booster shots, supplies of the pfizer vaccine dwindle.",2021-11-22 13:02:08+00:00
248,"demonstrations started with pickets of at a hospital on the main island,  a french overseas department, and grew violent over the weekend. protesters burned cars, looted businesses and clashed with riot police.",unrest over vaccine mandates and economic inequality rocks guadeloupe.,2021-11-22 17:00:08+00:00
249,hellman & friedman and bain capital are taking over the health care software company.,athenahealth’s $17 billion takeover is the latest private equity megadeal.,2021-11-22 18:33:40+00:00
250,"europe is again at the center of the pandemic, and amid vaccine resistance and protests, nations are imposing new rules and pressuring people to get inoculated.","‘vaccinated, recovered or dead’: europe fights covid wave — and itself",2021-11-22 18:44:01+00:00
251,"on thanksgiving, consider the multiple benefits of giving thanks.",a spirit of gratitude is healthy for society,2021-11-22 20:01:30+00:00
252,"the n.y. health department became a “toxic work environment” early in the pandemic, a high-ranking doctor told officials investigating ex-gov. andrew cuomo.",doctor who swabbed cuomo describes a health department in shambles,2021-11-22 21:33:50+00:00
253,lockdowns and protests in austria,coronavirus briefing: what happened today,2021-11-22 22:54:18+00:00
254,"we spent six months with genesis, one of one million new york city students who has lived through the most disrupted moment in the modern history of public education.",how one n.y.c. teen navigated the pandemic and made it to her senior year,2021-11-23 00:58:59+00:00
255,some objects and practices born in lockdown will probably stick around for decades — for better or worse.,the design legacy of covid? it’s all around you.,2021-11-23 10:00:10+00:00
256,"cases in children in the united states have risen by 32 percent from about two weeks ago, amid a rush to inoculate children ahead of the winter holiday season.",u.s. pediatricians say covid cases in children are on the rise.,2021-11-23 10:01:11+00:00
257,and how to make sense of it.,the latest covid surge,2021-11-23 11:24:17+00:00
258,"nearly half of the residents at the facility in the city of cheonan tested positive for covid, an outbreak that comes as south korea’s case levels surge.",at least 210 coronavirus cases are linked to a south korean religious settlement.,2021-11-23 13:12:40+00:00
259,"covid kept many people in place. now several developed countries, facing aging labor forces and worker shortages, are racing to recruit, train and integrate foreigners.","contending with the pandemic, wealthy nations wage global battle for migrants",2021-11-23 16:27:09+00:00
260,"the ruling being appealed was issued by a three-judge panel on the court of appeals for the fifth circuit, in new orleans.",the u.s. asks an appeals court to unblock biden’s vaccine mandate for large companies.,2021-11-23 17:22:40+00:00
261,"“the anomaly,” by hervé le tellier, sold more than a million copies during an anomalous time. now the genre-bending novel is translated into english.",the novel that riveted france during lockdown arrives in the u.s.,2021-11-23 17:54:57+00:00
262,"chelsea factory will offer residencies in music, dance, theater and film at its 14,000-square-foot space in manhattan.","cultural center opens in chelsea, aiming to help artists in pandemic",2021-11-23 18:00:06+00:00
263,"covid is now the leading cause of death in europe, the world health organization said in a statement, with almost 4,200 new deaths a day, double the number at the end of september.","europe’s death toll from covid will exceed 2 million by spring, the w.h.o. says.",2021-11-23 18:37:24+00:00
264,the money will help offset the increased expenses and revenue losses that rural hospitals and clinics have experienced during the pandemic.,rural health care providers get $7.5 billion in relief funds,2021-11-23 20:50:07+00:00
265,she studied the impact of aids on women and explored the effects of famine and poverty on health with an “unwavering commitment to social justice.”,"zena stein, 99, dies; researcher championed women’s health",2021-11-23 21:28:31+00:00
266,we’re also looking for tips on getting into shape.,what is your pandemic fitness routine?,2021-11-23 21:45:03+00:00
267,a surge among kids.,coronavirus briefing: what happened today,2021-11-23 22:03:02+00:00
268,the higher death toll is attributed to lower-than-needed vaccination rates and the relaxation of everyday precautions amid a rise of the highly contagious delta variant.,"despite vaccines, the u.s. has lost more lives to covid this year than last.",2021-11-23 22:56:19+00:00
269,"thanksgiving is back, but covid hasn’t gone away. here’s how to have a safer, peaceful and tasty holiday.","how to celebrate pandemic thanksgiving, round 2",2021-11-23 23:00:05+00:00
270,"midwestern states, which largely avoided the summer rise in new coronavirus cases, are now seeing the most cases per capita in the country.",see where u.s. covid cases and hospitalizations are surging,2021-11-24 10:00:03+00:00
271,"the detection of a new variant of the coronavirus has countries changing rules and adding lockdowns, making it even more difficult to plan a visit to the continent. here’s what we know about the latest restrictions.","can i still travel to europe? your virus restriction questions, answered",2021-11-24 10:00:24+00:00
272,"from broadband to transportation to high-tech medical manufacturing, benefits from america’s pandemic money infusion will linger.",how the $4 trillion flood of covid relief is funding the future,2021-11-24 10:02:54+00:00
273,steve burton and ingo rademacher had refused to comply with a nov. 1 mandate that applied to actors on the long-running daytime drama’s set.,two actors leave the soap opera ‘general hospital’ over its vaccine mandate.,2021-11-24 10:05:29+00:00
274,a guide to using rapid tests.,turkey without covid,2021-11-24 11:35:51+00:00
275,"passengers will have to show proof of vaccination, recovery from covid or a negative daily test under a system of random checks.",german public transportation controllers start checking vaccine papers.,2021-11-24 12:03:31+00:00
276,"the group’s three other members tested negative, the production company announced.","lisa, star of the k-pop group blackpink, tests positive for coronavirus.",2021-11-24 12:56:44+00:00
277,"when coronavirus vaccines first became available, uri bassan, a pharmacist, traveled 19,000 miles bringing shots to people all over new mexico. now with booster shots and vaccines for children, he and his team are setting out again.",a vaccine veteran hits the road again,2021-11-24 14:09:06+00:00
278,"republicans have fought mask requirements and vaccine mandates for months, but as coronavirus infections again rise, they are blaming the president for failing to end the health crisis.","g.o.p. fights covid mandates, then blames biden as cases rise",2021-11-24 15:28:59+00:00
279,the european center for disease prevention and control urged member countries to tighten restrictions and recommended booster shots for all adults.,european health agency calls for covid restrictions to avoid a bleak winter.,2021-11-24 16:04:32+00:00
280,test your knowledge of this week’s health news.,"weekly health quiz: exercise, appetite and the first case of covid",2021-11-24 17:28:24+00:00
281,"people who refuse a shot will be barred from a wide range of social activities, including indoor dining at restaurants and bars, and attending shows and sport events.",italy announces new restrictions for the unvaccinated.,2021-11-24 18:29:11+00:00
282,"neil ferguson, a leading epidemiologist, said the country had almost reached a state of herd immunity as it settled into a new normal of about 40,000 cases a day. other experts disagreed.",a claim of herd immunity reignites debate over u.k. covid policy,2021-11-24 19:29:48+00:00
283,almost half of the women who were surveyed said that they or a woman they knew had experience violence since the start of the outbreak.,"surveys suggest violence against women has intensified during the pandemic, a u.n. report says.",2021-11-24 21:59:37+00:00
284,dr. anthony fauci on the pandemic’s future.,coronavirus briefing: what happened today,2021-11-24 22:06:25+00:00
285,many households with immunocompromised or vulnerable relatives are racing to get covid shots for their 5-to-11-year-olds — and finally experiencing a long-awaited sense of relief.,"as young kids get vaccines, a ‘huge weight’ is lifted for families",2021-11-25 08:00:10+00:00
286,the biden administration has called on major companies to help fight the pandemic. big chains want to get past the holiday staffing crunch first.,why retailers are fighting a vaccine mandate before the holidays,2021-11-25 10:00:22+00:00
287,the french health minister said the latest wave of cases would be worse than the one during the summer. adults will need a booster for their health pass to remain valid.,the french rush to get booster shots as the government eyes more restrictions.,2021-11-25 16:06:11+00:00
288,"thousands of people filled the streets of new york city on thursday morning to celebrate the return of the macy’s thanksgiving day parade after the annual tradition was dramatically scaled down last year  . for many around the city and outside of it, the parade’s comeback to its full glory signaled another step forward in the city’s return to normalcy. ",thousands gathered to watch the first full macy’s thanksgiving parade since the pandemic.,2021-11-25 18:32:35+00:00
289,"within hours of the announcement, britain, israel and singapore had restricted travel from south africa and some nearby countries.","south africa detects a new variant, prompting new international travel restrictions.",2021-11-25 20:30:19+00:00
290,"the british health secretary said the ban takes effect on friday. earlier on thursday, south african scientists said they had identified a new variant.",britain will bar flights from six african countries as it investigates a new variant.,2021-11-25 21:43:02+00:00
291,the discovery could complicate efforts to reopen the border between the territory and the chinese mainland.,hong kong records two cases of the new variant detected in south africa.,2021-11-26 05:38:37+00:00
292,"in the bronx, where the percentage of murder cases closed by the police has plunged, one family is waiting impatiently for a day that may not come.",murders increased during the pandemic. did they also get harder to solve?,2021-11-26 08:00:08+00:00
293,the jump in unsolved cases hit the bronx especially hard after the pandemic closed in and shootings climbed to their highest levels in 15 years.,"murders increased during the pandemic, and the percentage solved by the n.y.p.d. plunged",2021-11-26 09:05:36+00:00
294,"scientists don’t know how effective vaccines will be against the new variant flagged by a team in south africa, which displays mutations that might resist neutralization.",here’s what we know about the omicron variant.,2021-11-26 09:26:12+00:00
295,n.f.l. teams have standardized support for mental wellness as their players fight social stigmas and the league’s “just play through it” ethos.,"pushed by players, the n.f.l. works to embrace mental health",2021-11-26 10:00:23+00:00
296,"the deteriorating situation is also worrisome for the united states, as trends in new covid cases tended to follow europe by weeks.",europe is being tested by waves of cases that threaten its progress against the pandemic.,2021-11-26 10:43:57+00:00
297,"stocks and oil futures slumped, while investors sought safety in government bonds.",markets tumble as new coronavirus variant brings travel restrictions,2021-11-26 13:22:26+00:00
298,strict controls on playhouses and music venues are returning as the continent deals with a new coronavirus wave.,europe’s theaters go back to the future with covid restrictions,2021-11-26 16:13:48+00:00
299,"health officials in the united states were consulting with south african scientists friday morning, according to a person familiar with the calls, but it was unclear whether the biden administration would impose travel restrictions.",u.s. officials are consulting with south african scientists on the variant.,2021-11-26 16:29:56+00:00
300,here’s what you need to know at the end of the day.,"virus variant, stephen sondheim, leftovers: your friday evening briefing",2021-11-26 21:43:35+00:00
301,"hours after south african scientists announced the existence of a troublesome new variant, britain banned travelers from southern africa. the united states and other nations quickly followed suit.","after detecting the omicron variant, south africa feels ‘punished’ by global travel bans.",2021-11-26 22:08:48+00:00
302,a new variant.,coronavirus briefing: what happened today,2021-11-26 22:13:43+00:00
303,"the omicron variant carries worrisome mutations that may let it evade antibodies, scientists said. but it will take more research to know how it fares against vaccinated people.",new virus variant stokes concern but vaccines still likely to work,2021-11-26 23:11:47+00:00
304,"scientists do not yet know how dangerous the new omicron variant is, but its many mutations set off alarms, lowering hopes of putting the pandemic in the past.",new ‘variant of concern’ fuels global fear of another virus surge,2021-11-26 23:29:47+00:00
305,"quotation of the day for saturday, november 27, 2021.","quotation of the day: omicron mutations may allow a quick spread, w.h.o. says",2021-11-27 03:27:00+00:00
306,"the social media profiles of anti-vaccine victims of the pandemic have made them and their families targets of trolling, even after their deaths.",they died from covid. then the online attacks started.,2021-11-27 10:00:10+00:00
307,the passengers were in the air when the netherlands announced travel restrictions on flights from southern africa.,"the netherlands finds 61 covid cases in air arrivals from south africa, and is checking for the variant.",2021-11-27 10:51:46+00:00
308,"thousands of new cases have been reported among vulnerable elderly residents in the last several months, as the virulent delta variant fuels outbreaks.","as covid infections spread, nursing homes lag behind on the rollout for booster shots",2021-11-27 13:00:11+00:00
309,a couple returning from south africa are germany’s first confirmed omicron cases. italy confirmed a case in a traveler returning from mozambique.,germany confirms cases of the variant in a married couple.,2021-11-27 13:16:46+00:00
310,there are many unknowns but we have the means to manage the variant.,3 questions we must answer about the omicron variant,2021-11-27 15:00:06+00:00
311,the world health organization began naming the variants after greek letters to avoid public confusion and stigma.,"how omicron, the new covid-19 variant, got its name",2021-11-27 15:13:01+00:00
312,dutch health authorities say it’s likely the omicron variant will be detected among 61 infected travelers from south africa.,chaos for passengers in amsterdam is one sign of a scattershot response to the variant.,2021-11-27 15:32:20+00:00
313,"the prime minister reimposed a mask mandate, saying ‘there are many things we just cannot know.’",the u.k. confirms two cases of the omicron coronavirus variant.,2021-11-27 15:38:56+00:00
314,"with countries trying to close their doors to the new coronavirus variant, southern african officials note that the west’s hoarding of vaccines helped create their struggle in the first place.","as omicron variant circles the globe, african nations face blame and bans",2021-11-27 15:51:20+00:00
315,"markets plunged on friday, hope of taming the coronavirus dimmed and a new term entered the pandemic lexicon: omicron.",how did omicron get its name?,2021-11-27 16:51:43+00:00
316,"britain, israel and others announced new restrictions as some health experts urged caution.",the omicron variant upends the global pandemic response.,2021-11-28 00:16:42+00:00
317,"under the world health organization’s system, the omicron variant might have been called nu or xi, but only at the risk of ambiguity or diplomatic awkwardness.","the w.h.o. skips forward two greek letters, avoiding a xi variant.",2021-11-28 01:36:16+00:00
318,here’s what you need to know about the week’s top stories.,"omicron, iran, stephen sondheim: your weekend briefing",2021-11-28 10:43:22+00:00
319,"players from the belenenses team criticized sporting officials for demanding the match go on, saying soccer had “lost its heart.”",a soccer game in portugal is abandoned after covid reduces one team to 9 players.,2021-11-28 13:40:23+00:00
320,the scottish cases come after britain announced three cases of the new variant over the weekend and as the british health secretary urged people to get a booster shot if they were eligible.,"scotland announces 6 cases of omicron, and britain considers widening its booster program.",2021-11-28 14:12:08+00:00
321,south africa gave the world an early warning. decisive action on containment and surveillance could help us control it.,omicron is coming. the u.s. must act now.,2021-11-28 16:00:09+00:00
322,"at least 13 people who arrived in the netherlands on two flights from south africa on friday were infected with the omicron variant of the coronavirus, and more cases will most likely be found, dutch health officials said on sunday.",the netherlands finds at least 13 omicron cases and expects more.,2021-11-28 16:43:02+00:00
323,the country has one of africa’s better vaccination rates: just under one-quarter of its population has been fully inoculated.,"south africa, where omicron was detected, is an outlier on the least vaccinated continent.",2021-11-28 18:32:35+00:00
324,"no cases of the new coronavirus variant have been confirmed in the u.s., but leaders said they were using existing safeguards and watching closely.",governors urge caution in the united states on the omicron variant.,2021-11-28 20:41:41+00:00
325,"getting a vaccination remains the best line of defense against covid-19, the nation’s top two health leaders said on sunday.",biden will give an update on omicron monday as u.s. health officials urge vaccinations.,2021-11-28 20:41:52+00:00
326,"after weeks of heated debate and protests, voters backed using covid certificates that are required to enter public spaces.",swiss voters approve their government’s covid policy in a referendum.,2021-11-28 21:24:46+00:00
327,"with several countries imposing new restrictions, the question now is whether travelers will be deterred.",airlines were seeing a travel rebound before omicron arrived.,2021-11-28 22:08:31+00:00
328,"a “frankenstein mix” of mutations raises concerns, but the variant may remain vulnerable to current vaccines. if not, revisions will be necessary.",will the vaccines stop omicron? scientists are racing to find out.,2021-11-28 23:05:11+00:00
329,a 31-year-old mother and her two children had arrived in queensland a few days ago.,a woman is charged with arson in quarantine hotel fire in australia.,2021-11-29 02:43:10+00:00
330,"after tumbling on friday, the s&p 500 gained more than 1 percent. oil prices and bond yields also rose.",markets rise as investors reconsider the unknowns of the omicron variant.,2021-11-29 09:31:30+00:00
331,"japan, which has been very cautious throughout the pandemic, is again barring all nonresident foreigners. there is an economic and human cost.","as world shuts borders to stop omicron, japan offers a cautionary tale",2021-11-29 10:27:23+00:00
332,what should you assume about the new variant?,the latest on omicron,2021-11-29 11:28:00+00:00
333,"the team, belenenses, took part in a game that had to be abandoned after a covid outbreak reduced the number of eligible players. one infected player had recently returned from south africa.",portugal detects 13 cases of omicron tied to a soccer team.,2021-11-29 11:31:51+00:00
